instruction,question,answer,case_number,year,appeal_status,status
أنت مستشار قانوني سعودي، متخصص في الدعاوى (مطالبة مالية تجارية (ثمن بضاعة)) وتحديداً في مسائل (حجية الكشف والمصادقة على الرصيد المذيل بختم المدعى عليه كبينة لإثبات المبالغ المستحقة في المنازعات التجارية، وذلك بموجب المادة 29 من نظام الإثبات.). تقدم إجابات دقيقة.,ما هي القيمة الإثباتية لـ 'الكشف والمصادقة على الرصيد' في دعاوى المطالبة المالية التجارية؟,"يعتبر 'الكشف والمصادقة على الرصيد' بينة قوية وحجة على المدعى عليه لإثبات المبالغ المستحقة في المنازعات التجارية، خاصة إذا كان مذيلاً بختمه أو ما يفيد موافقته، وذلك استناداً للمادة 29 من نظام الإثبات.

(المصدر: حكم رقم 4670170083 لعام 1446هـ | نسبة تأكيد الربط: 23.5%)",4670170083,1446,,pending
أنت مستشار قانوني سعودي، متخصص في الدعاوى (مطالبة مالية تجارية (ثمن بضاعة)) وتحديداً في مسائل (حجية الكشف والمصادقة على الرصيد المذيل بختم المدعى عليه كبينة لإثبات المبالغ المستحقة في المنازعات التجارية، وذلك بموجب المادة 29 من نظام الإثبات.). تقدم إجابات دقيقة.,أنا صاحب شركة قمت بتوريد بضائع لشركة أخرى، ولدي كشوفات رصيد موقعة ومختومة من قبلهم تثبت المبالغ المتبقية في ذمتهم، لكنهم يرفضون السداد. ما هي فرصي في المحكمة التجارية؟,"فرصك قوية جداً في المحكمة التجارية. إن كشوفات الرصيد الموقعة والمختومة من قبل الشركة المدعى عليها تعد بينة دامغة لإثبات المبالغ المستحقة، وستلزم المحكمة المدعى عليها بالسداد بناءً على هذه البينة القوية، خاصة في حال عدم تقديمها ما يدحضها.

(المصدر: حكم رقم 4670170083 لعام 1446هـ | نسبة تأكيد الربط: 23.5%)",4670170083,1446,,pending
أنت مستشار قانوني سعودي، متخصص في الدعاوى (مطالبة مالية تجارية (ثمن بضاعة)) وتحديداً في مسائل (حجية الكشف والمصادقة على الرصيد المذيل بختم المدعى عليه كبينة لإثبات المبالغ المستحقة في المنازعات التجارية، وذلك بموجب المادة 29 من نظام الإثبات.). تقدم إجابات دقيقة.,ما هي الإجراءات القضائية المتبعة عند تقديم 'الكشف والمصادقة على الرصيد' كبينة في دعوى مطالبة مالية تجارية، وما هو تأثير عدم حضور المدعى عليه أو عدم تقديمه مذكرة دفاع؟,"عند تقديم 'الكشف والمصادقة على الرصيد' كبينة، تتحقق الدائرة القضائية من صحتها وقوتها الإثباتية. وفي حال عدم حضور المدعى عليه رغم تبلغه أو عدم تقديمه مذكرة دفاعية، فإن ذلك يعزز من صحة دعوى المدعي والبينة المقدمة، وقد يؤدي إلى إصدار حكم حضوري بإلزام المدعى عليه بالمبلغ المطالب به بناءً على البينة المقدمة وعدم وجود ما يدحضها.

(المصدر: حكم رقم 4670170083 لعام 1446هـ | نسبة تأكيد الربط: 23.5%)",4670170083,1446,,pending
أنت مستشار قانوني سعودي، متخصص في الدعاوى (دعوى تجارية - إبطال قرار جمعية عمومية لشركة ذات مسؤولية محدودة) وتحديداً في مسائل (يُبطل قرار الجمعية العمومية للشركاء في الشركات ذات المسؤولية المحدودة إذا صدر بمخالفة لأحكام نظام الشركات أو عقد تأسيس الشركة، ومن ذلك عدم الالتزام بالمدة النظامية للدعوة للاجتماع (21 يوماً) أو عدم توفر الأغلبية المطلوبة نظاماً لإصدار القرار (أكثر من نصف رأس المال على الأقل).). تقدم إجابات دقيقة.,ما هي الشروط الأساسية لصحة قرارات الجمعية العمومية في الشركات ذات المسؤولية المحدودة وفقاً لنظام الشركات؟,"تتطلب صحة قرارات الجمعية العمومية في الشركات ذات المسؤولية المحدودة الالتزام بمدة دعوة لا تقل عن 21 يوماً قبل موعد الاجتماع، وأن يوافق عليها شريك أو أكثر يمثلون أكثر من نصف رأس المال على الأقل، ما لم ينص عقد التأسيس على نسبة أكبر.

(المصدر: حكم رقم ٤٤٧١١٣٨٥٦٥ لعام ١٤٤٥هـ | نسبة تأكيد الربط: 40.82%)",٤٤٧١١٣٨٥٦٥,١٤٤٥,,pending
أنت مستشار قانوني سعودي، متخصص في الدعاوى (دعوى تجارية - إبطال قرار جمعية عمومية لشركة ذات مسؤولية محدودة) وتحديداً في مسائل (يُبطل قرار الجمعية العمومية للشركاء في الشركات ذات المسؤولية المحدودة إذا صدر بمخالفة لأحكام نظام الشركات أو عقد تأسيس الشركة، ومن ذلك عدم الالتزام بالمدة النظامية للدعوة للاجتماع (21 يوماً) أو عدم توفر الأغلبية المطلوبة نظاماً لإصدار القرار (أكثر من نصف رأس المال على الأقل).). تقدم إجابات دقيقة.,أنا شريك في شركة ذات مسؤولية محدودة، وتم اتخاذ قرار جوهري في جمعية عمومية لم أُبلغ بها إلا قبل يوم واحد من انعقادها، ولم أوافق على القرار. هل يمكنني الطعن في هذا القرار؟,"نعم، يمكنك الطعن في هذا القرار والمطالبة بإبطاله. فالدعوة لانعقاد الجمعية العمومية قبل يوم واحد فقط تخالف المدة النظامية المحددة بـ 21 يوماً، وهذا بحد ذاته سبب كافٍ لإبطال القرار الصادر عنها، بالإضافة إلى أي مخالفات أخرى تتعلق بالأغلبية المطلوبة.

(المصدر: حكم رقم ٤٤٧١١٣٨٥٦٥ لعام ١٤٤٥هـ | نسبة تأكيد الربط: 40.82%)",٤٤٧١١٣٨٥٦٥,١٤٤٥,,pending
أنت مستشار قانوني سعودي، متخصص في الدعاوى (دعوى تجارية - إبطال قرار جمعية عمومية لشركة ذات مسؤولية محدودة) وتحديداً في مسائل (يُبطل قرار الجمعية العمومية للشركاء في الشركات ذات المسؤولية المحدودة إذا صدر بمخالفة لأحكام نظام الشركات أو عقد تأسيس الشركة، ومن ذلك عدم الالتزام بالمدة النظامية للدعوة للاجتماع (21 يوماً) أو عدم توفر الأغلبية المطلوبة نظاماً لإصدار القرار (أكثر من نصف رأس المال على الأقل).). تقدم إجابات دقيقة.,ما هي الإجراءات القضائية المتبعة لإبطال قرار جمعية عمومية لشركة ذات مسؤولية محدودة صدر بمخالفة نظام الشركات؟,"تتمثل الإجراءات القضائية في رفع دعوى أمام المحكمة التجارية المختصة بطلب إبطال قرار الجمعية العمومية، مع تقديم كافة المستندات والبينات التي تثبت المخالفات النظامية، مثل عدم الالتزام بمدة التبليغ القانونية أو عدم توفر الأغلبية المطلوبة لإصدار القرار وفقاً لنظام الشركات وعقد تأسيس الشركة.

(المصدر: حكم رقم ٤٤٧١١٣٨٥٦٥ لعام ١٤٤٥هـ | نسبة تأكيد الربط: 40.82%)",٤٤٧١١٣٨٥٦٥,١٤٤٥,,pending
أنت مستشار قانوني سعودي، متخصص في الدعاوى (نزاع تجاري) وتحديداً في مسائل (تقدير أتعاب التقاضي والتعويض عنها). تقدم إجابات دقيقة.,ما هي المعايير التي تستند إليها المحكمة في تقدير أتعاب التقاضي؟,"تستند المحكمة في تقدير أتعاب التقاضي إلى عدة معايير منها: لائحة الدعوى، محاضر الجلسات، الحق المطالب به، والأحكام القضائية السابقة، ويكون تقديرها منوطاً بالدائرة القضائية.

(المصدر: حكم رقم ٤٥٧٠٩٦٥٠٩١ لعام ١٤٤٥هـ | نسبة تأكيد الربط: 25.68%)",٤٥٧٠٩٦٥٠٩١,١٤٤٥,,pending
أنت مستشار قانوني سعودي، متخصص في الدعاوى (نزاع تجاري) وتحديداً في مسائل (تقدير أتعاب التقاضي والتعويض عنها). تقدم إجابات دقيقة.,أنا صاحب شركة وقمت برفع دعوى تجارية ضد شركة أخرى لعدم سداد مستحقات خدمات قدمتها لهم، وقد حكمت المحكمة لي بالمبلغ كاملاً. هل يمكنني المطالبة بتعويض عن التكاليف التي تكبدتها جراء التقاضي؟,"نعم، يمكنك المطالبة بتعويض عن أتعاب التقاضي (تكاليف التقاضي)، حيث أن المحكمة قد تحكم لك بها بناءً على تقديرها بعد النظر في تفاصيل الدعوى والحق المطالب به والإجراءات المتخذة.

(المصدر: حكم رقم ٤٥٧٠٩٦٥٠٩١ لعام ١٤٤٥هـ | نسبة تأكيد الربط: 25.68%)",٤٥٧٠٩٦٥٠٩١,١٤٤٥,,pending
أنت مستشار قانوني سعودي، متخصص في الدعاوى (نزاع تجاري) وتحديداً في مسائل (تقدير أتعاب التقاضي والتعويض عنها). تقدم إجابات دقيقة.,ما هي الخطوات الإجرائية التي يجب على المدعي اتباعها لطلب أتعاب التقاضي، ومتى يتم البت فيها من قبل المحكمة؟,"يجب على المدعي أن يضمن طلب أتعاب التقاضي ضمن صحيفة دعواه أو طلباته الختامية. يتم البت فيها من قبل المحكمة عند إصدار الحكم في الدعوى الأصلية، حيث تقوم الدائرة بتقديرها بناءً على المعايير المذكورة بعد الاطلاع على ملف الدعوى.

(المصدر: حكم رقم ٤٥٧٠٩٦٥٠٩١ لعام ١٤٤٥هـ | نسبة تأكيد الربط: 25.68%)",٤٥٧٠٩٦٥٠٩١,١٤٤٥,,pending
أنت مستشار قانوني سعودي، متخصص في الدعاوى (نزاع تجاري - عقد مقاولة) وتحديداً في مسائل (يجوز للمدعي ترك الخصومة بتبليغ يوجهه إلى خصمه أو تقرير منه لدى الكاتب المختص في المحكمة أو ببيان صريح في مذكرة موقع عليها منه أو من وكيله، مع اطلاع خصمه عليها، أو بإبداء الطلب شفهياً في الجلسة وإثباته في ضبطها، ولا يكون الترك بعد إبداء المدعى عليه دفوعه إلا بقبوله، مع أحقية المدعي في إقامة موضوع الدعوى مرة أخرى متى شاء.). تقدم إجابات دقيقة.,ما هي الطرق القانونية المتاحة للمدعي لترك الخصومة في دعوى قضائية؟,"يمكن للمدعي ترك الخصومة بإحدى الطرق التالية: بتبليغ يوجهه إلى خصمه، أو بتقرير منه لدى الكاتب المختص في المحكمة، أو ببيان صريح في مذكرة موقع عليها منه أو من وكيله مع اطلاع خصمه عليها، أو بإبداء الطلب شفهياً في الجلسة وإثباته في ضبطها.

(المصدر: حكم رقم ٤٥٧٠٥٢٩١٠٨ لعام ١٤٤٥هـ | نسبة تأكيد الربط: 53.61%)",٤٥٧٠٥٢٩١٠٨,١٤٤٥,,pending
